City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,kapa'a,22.0752,-159.319,297.33,76,75,2.06,US,1706673090
409,san jose del guaviare,2.5729,-72.6459,299.21,54,61,0.89,CO,1706673091
410,salaga,8.5508,-0.5188,300.42,19,35,0.86,GH,1706672917
411,ciudad lazaro cardenas,17.9583,-102.2,298.38,75,100,1.45,MX,1706673091
412,tuy hoa,13.0833,109.3,297.07,83,98,1.83,VN,1706673091
413,al bawiti,28.3492,28.8659,280.84,54,12,3.62,EG,1706673092
414,es castell,39.8795,4.2854,285.53,76,75,1.54,ES,1706673092
415,carutapera,-1.195,-46.02,298.97,87,68,2.69,BR,1706673092
416,barra do garcas,-15.89,-52.2567,297.0,71,88,0.32,BR,1706673093
417,patong,7.8961,98.2966,303.23,66,57,5.98,TH,1706673093
418,kharp,66.8014,65.8081,257.08,97,100,1.66,RU,1706673093
419,laminusa,5.5549,120.9136,300.63,78,87,1.49,PH,1706673093
420,fale old settlement,-9.3852,-171.2468,302.89,68,26,1.34,TK,1706673094
421,malango,-2.9627,119.9001,299.42,82,84,0.9,ID,1706673094
422,sao gabriel da cachoeira,-0.1303,-67.0892,297.05,97,89,0.8,BR,1706673094
423,la passe,45.5549,-0.8967,279.28,91,91,2.31,FR,1706673094
424,colares,38.7992,-9.4469,287.46,90,80,6.71,PT,1706673095
425,gornopravdinsk,60.05,69.9,261.21,94,100,3.85,RU,1706673095
426,gunja,44.88,18.8533,270.34,71,1,0.9,HR,1706673095
427,wenchang,30.904,118.4887,285.79,88,100,1.83,CN,1706673095
428,piacabucu,-10.4056,-36.4344,298.0,80,0,3.05,BR,1706673096
429,zhangye,38.9342,100.4517,271.4,29,100,0.88,CN,1706673096
430,ornskoldsvik,63.2909,18.7153,262.68,92,12,1.54,SE,1706673096
431,nishinoomote,30.7333,131.0,293.46,94,75,4.63,JP,1706672931
432,icano,-28.9193,-65.3282,299.42,35,8,3.17,AR,1706673097
433,kosh-agach,50.0,88.6667,249.99,93,100,0.45,RU,1706673097
434,vernon,50.2581,-119.2691,279.98,93,100,1.34,CA,1706673097
435,okha,53.5739,142.9478,255.15,88,99,7.14,RU,1706673097
436,al muwayh,22.4333,41.7583,285.55,39,33,1.01,SA,1706673098
437,namtsy,62.7161,129.6658,240.73,93,48,0.31,RU,1706673098
438,moyynkum,44.2914,72.9469,271.84,80,100,5.56,KZ,1706673098
439,sanctuary point,-35.1114,150.629,295.92,88,100,4.67,AU,1706673098
440,hami,42.8,93.45,271.46,47,100,3.34,CN,1706673099
441,santa elena de uairen,4.6167,-61.1333,295.28,76,77,1.07,VE,1706673099
442,el granada,37.5027,-122.4694,290.09,77,40,4.12,US,1706673099
443,khorixas,-20.3667,14.9667,297.73,43,91,1.78,NA,1706673005
444,huarmey,-10.0681,-78.1522,297.28,81,100,2.36,PE,1706673100
445,tuyen quang,21.8233,105.2181,291.35,81,100,0.86,VN,1706672847
446,ponta delgada,37.7333,-25.6667,287.55,88,40,1.54,PT,1706673100
447,belousovka,50.1339,82.5239,263.62,79,100,1.0,KZ,1706673100
448,yaren,-0.5472,166.916,301.99,73,100,4.13,NR,1706673100
